Adaptation cycle,Adaptation Number,N,h,h x 10^-2,Cl,Cd
1,1,12476,0.04311630592,4.31,0.1956481695,0.04999582983
1,2,19932,0.03688216223,3.69,0.1697143606,0.02469410693
1,3,20324,0.0366434991,3.66,0.2060172469,0.0220691817
1,4,20517,0.03652823716,3.65,0.242585665,0.02338747208
1,5,20414,0.03658956923,3.66,0.2490788095,0.02351107695
2,1,28220,0.03284588718,3.28,0.2303689509,0.02272823665
2,2,28000,0.0329316878,3.29,0.2281998829,0.0226322485
2,3,28253,0.03283309401,3.28,0.2195132141,0.02346009315
3,1,38086,0.02972201249,2.97,0.2290750925,0.02243324174
3,2,38016,0.02974024398,2.97,0.2247069911,0.02256584006
3,3,38462,0.02962484219,2.96,0.2301201626,0.02198957281
4,1,53836,0.02648352187,2.65,0.224977606,0.0214147618
4,2,54302,0.0264075468,2.64,0.2289414622,0.02162556481
4,3,54357,0.02639863716,2.64,0.222951758,0.02069104963
5,1,84340,0.02280283271,2.28,0.2238765723,0.01993373945
5,2,84546,0.02278429762,2.28,0.2223486972,0.01934829358
5,3,84517,0.02278690328,2.28,0.2239439808,0.01883510825
6,1,108733,0.02095139171,2.1,0.2221921201,0.01813363556
6,2,108675,0.0209551183,2.1,0.2221031526,0.01758115206
6,3,109924,0.02087544901,2.09,0.2244033282,0.01724651418
6,4,109531,0.02090038642,2.09,0.2249328678,0.01697573335
6,5,109469,0.02090433146,2.09,0.2270366932,0.01682130947
6,6,109744,0.02088685595,2.09,0.2294386204,0.01671669476
6,7,108438,0.02097037356,2.1,0.2308057469,0.01675358192
7,1,158925,0.01846159672,1.85,0.2320135392,0.01663907437
7,2,160602,0.01839711332,1.84,0.2334634623,0.01675496215
7,3,160963,0.01838334965,1.84,0.2353146257,0.01685786862
7,4,158969,0.01845989328,1.85,0.2393088894,0.01693057453
7,5,158507,0.01847781088,1.85,0.2383012466,0.0169832339
8,1,210257,0.01681705116,1.68,0.2388336695,0.01651218116
8,2,209461,0.01683832712,1.68,0.2408875694,0.01642733925
8,3,210417,0.01681278755,1.68,0.2413734355,0.01637142113
8,4,209668,0.01683278395,1.68,0.2418774218,0.01627603391
8,5,210777,0.01680321021,1.68,0.2426987698,0.01622376869
9,1,311585,0.01475053659,1.48,0.2439337762,0.01594806663
9,2,313530,0.01471997139,1.47,0.2442033301,0.01570526291
9,3,312507,0.01473601597,1.47,0.2499631611,0.0166500578
9,4,310658,0.01476519383,1.48,0.2459822561,0.01593571612
9,5,306509,0.01483151754,1.48,0.2462323243,0.01539855885
10,1,410271,0.013457872,1.35,0.2492957115,0.01516797661
10,2,414327,0.01341381322,1.34,0.2494340884,0.01532068022
10,3,413697,0.01342061886,1.34,0.2482571509,0.015371759